,text,sentiment
68,congrats winning travelzoo award best deals airline us,2
69,everything fine lost bag,0
70,need change reservation virgin credit card need modify phone waive change fee online,1
71,emailed customer service team let know need tracking number,1
72,hi booked flight need add baggage,1
73,airline awesome lax loft needs step game dirty tables floors,0
74,worried great ride new plane great crew airlines like,2
75,awesome flew yall sat morning way correct bill,2
76,watch best student films country feet cmfatfeet,1
77,first time flying different ratepolicy media bags thanks,1
78,going customer service anyway speak human asap thank,0
79,happened doom,1
80,cant supp biz traveler like southwestair customer service like jetblue neverflyvirginforbusiness,0
81,ive applied member inflight crew teamim interested flightattendant dreampath g,2
82,youre best whenever begrudgingly use airline im delayed late flight,0
83,interesting flying cancelled flight next four flights plannedneverflyvirginforbusiness,0
84,disappointing experience shared every business traveler meet neverflyvirgin,0
85,im trouble adding flight wife booked elevate account help,0
86,cant bring reservation online using flight booking problems code,1
87,random q whats distribution elevate avatars bet kitty disproportionate share,1
88,lt flying va life happens trying change trip jperhi helpva home page let,1
89,site back,0
90,rnp yeah know,1
91,hi get points elevate account recent flight add flight points account,1
92,like tv interesting video disappointed cancelled flightled flight flights went jfk saturday,0
93,landed lax hour late flight bag check business travel friendly nomorevirgin,0
94,flight redirected,1
95,website btw new website isnt great user experience time another redesign,0
96,cant check add bag website isnt working ive tried desktop mobile,0
97,let scanned passengers leave plane told someone remove bag st class bin uncomfortable,0
98,phone number cant find call flight reservation,0
99,anyone anything today website useless one answering phone,0
100,trying add boy prince ressie sf thursday virginamerica lax,1
101,must traveler miss flight late flight check bag missed morning appointments lost business sfolax,0
102,check new music,1
103,hows direct flight fllgtsfo unexpected layover vegas fuel yet peeps next bought vegas flight sneaky,0
104,late flight bag check lost business missed flight apt three people flight exp,0
105,amazing customer service raeann sf shes best customerservice virginamerica flying,2
106,called service line hung awesome sarcasm,0
107,site tripping im trying check im getting plain text version reluctant enter card info,0
108,scheduled sfo dal flight today changed th due weather looks like flight still,1
109,getaway deals may oneway lots cool cities cheapflights farecompare,2
110,getaway deals may oneway lots cool cities cheapflights farecompare,1
111,getaway deals may oneway lots cool cities cheapflights farecompare,2
112,getaway deals may oneway lots cool cities cheapflights farecompare,1
113,great week,2
114,come back phl already need take us horrible cold pleasecomeback,2
115,concerned fly plane needs delayed due tech stop,0
116,best airline flown oneasy change reservationhelpful representatives amp comfortable flying experience,2
117,another rep kicked butt naelah represents team beautifully thank,2
118,beautiful frontend design right cool still book ticket bc backend secure,2
119,love team running gate e las tonight waited delayed flight kept things entertaining,2
120,use another browser amp brand reputation built tech response doesnt crossbrowser compatible website,0
121,flight flight booking problems site totally folks problem,0
122,like customer service min delay connecting passengers seems long va,0
123,thanks outstanding nycjfk crew moved mountains get home san francisco tonight,2
124,absolute best team customer service ever every time fly im delighted thank,2
125,provide complimentary upgrades first class available seats,1
126,need change flight thats scheduled hours min wait time phone im calling intern help,0
127,completely awesome experience last month boslas nonstop thanks awesome flight depart time vabeatsjblue,2
128,watch oscars jfkgtsfo flight,1
129,flight cancelled flightled,1
130,failing customers check process link tsa precheck,0
131,fidifamilies us terrible airline gave us hotel hotline number said sorry,0
132,flight number sfo cabo san lucas arrived yet,1
133,chrysichrysic assistance yesterday u cancelled flightled flight give us hotel hotline shame,0
134,another delayed flight likingyoulessandless,0
135,need register service dog first class ticket sfo gt dulles phone queue hour longer pls advise,0
136,rock making watch oscars flight redcarpet oscars oscars,2
137,reallytallchris dropped track,1
138,always xoxo,2
139,cant book seats flights buy even check creates much anxiety frustrated,0
140,youd think paying extra bucks rt luggage might afford hiring extra hand sfo lame,0
141,best customer service rep world irmafromdallas takes cake,2
142,find us flt lax sooner midnight monday would great customer service,1
143,please provide status flight cant imagine time web indicates dude weather andor dallas,0
144,amazing staff amp super helpful ran waltdisneyworld princesshalf spoiled comfort,2
145,paid premium fly across country cancelled flight flight offer check fee upgrade love sad face,0
146,question possible book seat infant giving option want seat,0
147,together youre welcome rt virginamerica jessicajaymes youre welcome,2
148,flight home dc sunset globe backtowinter back work refreshed,2
149,dont understand need dm give answer damaged luggage policy,0
150,mean dont policy destroyed luggage,0
151,special assistance travel alone w kids infant priority boarding,1
152,thank checking tickets purchased customer happy,2
153,website ever coming back online,1
154,flight love field sfo definitely cancelled flightled monday february,1
155,flight lga dfw time,1
156,drivers license expired little month fly friday morning using expired license,1
157,problems flight booking problems web site keeps giving error contact phone phone minute wait,0
158,reschedule cancelled flightled flights online change button greyed,0
159,rang wait minutes book ticket vendor fix site,0
160,got flight told todaychecked email tomorrow unacceptable,0
161,flight lga cancelled flighted stuck dallas called reschedule told could get flight today,0
162,dont pairings include red wine white offered redwineisbetter,0
163,website,0
164,site seems little wonked right may want look tried two browsers css,0
165,im disappointed agent designated silver status check line dullesairport closed assist pasengers,0
166,plans include austin dallas route topnews arab emirates,1
167,normal receive reply central baggage baggageissues smh,0
168,logan airport waiting checkin flight checkin desk open,0
169,jump dallasaustin market dallasnews,1
170,beats eps views takes southwestair va luv investors business daily,1
171,lister show monday,1
172,begin dallasaustin flights april ketr,1
173,congrats got business ewr sfolax fuck united fl sfoewr clincher,0
174,applied weeks ago havent heard back im flying week disappointed,0
175,id love know policy damaged luggage,1
176,thank follow,2
177,many apologies r worse airlines dont even respond cudtomers,0
178,shame va making people spend money stranded cities airlines landing jfk reimburse,0
179,ttinac dm,1
180,please flights sjc choice fly southwest vegas,1
181,bad say takes days via confirmation email inquired weeks claim weeks,0
182,flight bos gt las tomorrow cancelled flightled notification wait times hour rebook another airline,0
183,rt virginamerica youve met match got status another airline upgrade restr,2
184,way fly elevate gold,2
185,guys flights cmh,1
186,lot apologies thrown customers seevery sad thanks nothing worst airline ever,0
187,flight stuff wrong nothing worst flight ever,0
188,issue finding missing item plane help find airport plane headed next,1
189,match americanairlines status cool,2
190,met matchgot status another airline upgrade asarcoesar,1
191,trying book flight guys website wont let lose business,0
192,suck,0
193,thanks,2
194,dmd issue persisting,0
195,never recd cancelled flightlation notice left w options fly ps driving la red eye mon w kids,0
196,trying book flight amp site,0
197,flights flying boston tomorrow need home cancelled flightled flight didnt anything,0
198,stink flight cancelled flighted psp jfk notification ability rebook disappointed expected better,0
199,love guys song dancing high school dance revue,2
200,website im trying check,0
201,done thank quick response apparently faster sitting hold,2
202,nervous flight dc lax getting cancelled flightled tomorrow sent dm help,1
203,cool picture another virginamerica plane wing site,2
204,keep great work,2
205,goodness people love field amazing pressure texas beatstheothers crisis please fly ny,2
206,thanks great flight la boston pilots great job landing snow go back la seriously,2
207,please get new york area monday afternoon,1
208,thanks much awesome support guys rock,2
209,seats row dont recline mention website soreback,0
210,flight delayed hours la due mechanical problems handle like pros could tossed us free drink,0
211,cancelled flight flights today precipitation scared,0
212,twitter team guys killed rescheduling asap thank,2
213,guys charged reschedule flight cancelled flighted refusing refund whats deal,0
214,cant access website safari iphone seems work mac ipad need iphone add passbook,0
215,ipad iphone clicking checkin link email received hrs flight,1
216,mobile site broken shows headerelevateusernumofpointsavailable number points wont let checkin,0
217,really looking forward flight let know rescheduled diehardvirgin,0
218,cancelled flight flight vx one sec delayed airport next cancelled flightledgonna email call reschedule,0
219,problem link email checkin thanks,0
220,change another airline get dc today united able land dc cost ugh,0
221,looking forward first flight today cancelled flightled along subsequent one,0
222,putting great deals pdx las las pdx show love,2
223,wish afford fly next friday going back home love everything airline,2
224,gon na deal dallas dc deal dc dallas sad,0
225,bug report guys,1
226,hold times call center bit much,0
227,like,2
228,site help,0
229,best flight attendant ever,2
230,rt virginamerica watch nominated films feet meetthefleet oscars,2
231,thanks much,2
232,trying reset password email never arrives help,0
233,airline based silicon valley disruption fcmostinnovative incubator fastcompanys,2
234,nicely done,2
235,im looking forward watching oscars flight home tomorrow might even get something bubbly drink,2
236,reason delay departure vx jfk afternoon,0
237,todays flight palm springs ca jfk ny cancelled flightled,0
238,hahaha virginamerica guys amazing love guys,2
239,sounds like fun,2
240,updates flight jfk gt lax,1
241,spruce moose,1
242,css site right please fix site unusable,0
243,flight vegas boston today checked online bag count didnt register fix somehow,0
244,classiq luv virgin america greetingz,2
245,hi im trying checkin website working tried different browsers problem continues,0
246,thanks great customer service today amp helping get travel sorted,2
247,thanks guys sweet route rockies airplanemodewason,2
248,love music blasting gate boston waiting flight sanfrancisco could get iced coffee,2
249,passenger flt assaulted shouldnt flown trust hes banned crew filed report faanews,0
250,current bug website shows select departure city selecting destination city,0
251,luggage severely dentedmissing wheel coming baggage claim san luggage agent miranda think wasnt help,0
252,thank easy itinerary shift impending weather quick painless amp free,2
253,youd love see girls inspired become pilots rt free woaw event march abq,1
254,thanks good times back vodkatonics entire flightsfo,2
255,beats expectations shares take santa cruz sentinel,1
256,plans start flying direct dal las,1
257,big lovegratitudempower w werin oscars vipswagbags avalonhollywood,1
258,youre great job adding little luxuriesaesthetics improve air travel experience thank keep,2
259,requested window seat confirmed window got stuck middle seat good way treat silver member,0
260,grand budapest hotel oscarscountdown,1
261,missed newsvp next trip,1
262,wtf paid direct flight purpose stop fuel exhausted frequent flier nothing inconvenience,0
263,something wrong website safari iphone,0
264,thanks gate checking baggage full flight dfwlax giving early boarding sweet,2
265,already checked page expired x,0
266,boo refunding seat upgrade fee want buy first place,0
267,shares rise q financial results usa today,1
268,adds pillows instead lieflat seats first class arms race,1
269,see,2
270,way take advantage mayweatherpacquiao,1
271,know im flying virgin fight mayweatherpacquiao,1
272,inflight team makes experience amazing,2
273,cutest salt pepper shaker ever think guys cant get better,2
274,moved seat notice better seat cabin select behind row selected disappointed,0
275,shares q results iol,1
276,fav airline,2
277,hot female pilot sweet dca sfo,2
278,guys going start flying paris virginamerica lizautter youre welcome,1
279,policy flying surgery still waiting answer tell doctor,1
280,already contacted central baggage amp sent dm renttherunway charging dress lost suitcase help,0
281,thank,2
282,anything going website ive getting lot errors past minutes,0
283,think left something plane yesterday callah,1
284,need follow back order dm,1
285,need start flying kciairport,1
286,told check airline regulation first contacted,1
287,virginatlantic checked flight sfo lax amp told atlantic flying club gold get benefits,0
288,husband ordered three drinks via screen never came awesome,0
289,soooo guys going leave seatbelt light flight barely call turbulence,0
290,policy flying surgery,1
291,posts second consecutive fullyear net profit atwonline,1
292,funny story website broken missing javascript stylesheets checkin process dislike,0
293,would love virgin like gopro,2
294,results handily exceed forecasts nytimes,1
295,applied position flylaxairport wondering guys received application,1
296,achieves second year profitability despite revenue pressure capaaviation,1
297,gives positive outlook sees increased competition reuters,1
298,im trying check ct flight tmm desktop website working sort caching bug sos,0
299,weather delays gt next weeks jfk bos dca,1
300,madbee check website go airport,1
301,guys know checkin links emails broken,0
302,pilot says expect choppy landing nyc due gusty winds wa temperature degrees amp wthe windchill,1
303,loved cant wait mondays return flight mostly watch inflight safety video sorrynotsorry,2
304,lost luggage days ago flight vx lax iad amp im calling every day responseplease give back stuff,0
305,flight booking problems section website seems broken chrome might wan na look,0
306,hi wanted see new routes planned year newark love flying guys hope,2
307,mean probably inappropriate board,2
308,happy spend day together lets,2
309,saving sanity right,1
310,missed flight standby work,1
311,understanding helped thx comps,2
312,brought way across country today see,1
313,thank absolutely,2
314,looks like broken link assets,0
315,ready lets say together noooo turbulence today,1
316,manage itinerary section website seems broken,0
317,cant check site looks like every time loads,0
318,u help freyabevanfund needs urgent treatment iny old battling cancer could u help flights freyasfund,1
319,may start service hawaii sanfrancisco year biztravel,1
320,carriers less half price round trip fare stunned,0
321,wtf happening pdx late flight march one way sfo,0
322,add dtw im sold,1
323,free drinks flight back free promo,2
324,ssal thanks,2
325,momma made,1
326,please contact portfolio left flight vx jfk sfo tonite seat need returned call,1
327,help flight jkf tonight seat c left portfolio need back,1
328,shrinerack seattle bound wifey got duffle vday shes keeper holla,1
329,luggage gone ive filed paperwork promised callemail still resolution response central luggage,0
330,debbie baldwin gave rockstar performance safety demo evening vx lassfo bestcrew sherocks,1
331,thanks,2
332,thanks taking care suuperg flight rockstars travel,2
333,thanks lovely soft views travel san sfo,2
334,requested mileage challenge status several weeks ago online havent heard back get help,0
335,trying book tickets nyc facing super fun broken styling dont worry ill keep trying,0
336,many thanks follow ourprincess freyasfund usa bandie looking help,1
337,nice lofty view flylaxairport silverstatus,1
338,applied status match feb got confirmation email day still news though guys dropped ball late flightly,0
339,new go airline,1
340,virginatlantic gma americanair help ourprincess need help usa,1
341,adore looking forward flight austin two weeks,2
342,glad mentioned took first virgin flight years back transformative experience,2
343,flight booking problems flight uphold status match taxes ticket count earned status points statusmatch virginamerica,1
344,trying checkinbut looks like site,0
345,spending birthday night daldca get home,0
346,sent couple messages email provided avail try next year cheers,0
347,first time flying virgin went sanfrancisco thanks smooth ride easily new fav airline,2
348,seriously though direct flights sfofll may,0
349,fine already done purchase try go way go back,0
350,really experience hoping ws forced check small carry w nothing empty cabin space board,0
351,wjere luggage slow lax,0
352,jump dallas austin market,1
353,spoke representative offered solution loyal customer flies virginatlantic well,0
354,deeply disappointed birthday promo applied trip booked mere days received email,0
355,happened direct flights sfofll looking may see connecting help dontdothistome,0
356,help left blazer kooples jacket bag rd row second seat right gate lax flight sfo,1
357,partners visa checkout mobile payment method help boost mobile conversion rates etailwest payments visa,1
358,promoting product problem southwest recommend noneother best,2
359,love guys pls get direct routes las aus,2
360,would like help flights please,1
361,virginamerica giannilee turn vxsafetydance,1
362,course work virginatlantic im obsessed entire virgin family,2
363,ok first time flying tonight,2
364,digging swanky pink mood lighting flight nyc sfo needs cabaret singer think,1
365,done need receipt asap could please help,1
366,embossed badges patches superior ones currently using,0
367,vx jfk la dirty plane standards,0
368,flight vx headed la jfk dirtiest va plane ever sad great airline,0
369,got squared away someone picked soon tweeted tweeted sooner,2
370,avis rental continue button doesnt work website book car tried times phone sucks,0
371,delayed,0
372,currently minute hold cust service need anything add lap child reservation,0
373,adds pillows instead lieflat seats first class arms race skift,1
374,karinslee course fun celebrating thanks happy chinese new year,2
375,flight booking problems last second flight next week sfo san chance want gift promo code since love guys,2
376,comenity bank joke please change nothing constant problems bank,0
377,dm u also add,1
378,grandma ellas th would lt bday greeting flight crew stewardess eastern airlines,2
379,bought tix atx dallas route thanks adding love yr airline amp yr website best transactional site ever,2
380,anytime sugafly,1
381,gave credit late flight flight yesterday great service thats wow moment unexpected gesture,2
382,need receipt flight change send one,1
383,submitted status match request back still havent heard im flying monday look accelerate,0
384,safety video loved first cross country flight livewelltraveled sytycd,2
385,doesnt look fat looks yummy,2
386,ceo says southwest amp jetblue strayed low cost model,1
387,brilliant brisk boston cue vx,1
388,atlantic ploughs lone furrow middleeast thenationaluae,1
389,atlantic ploughs lone furrow middleeast thenationaluae,1
390,atlantic ploughs lone furrow middleeast thenationaluae,1
391,omg omg nonstop dallas austin virgin,2
392,planes really pretty thought u know,2
393,flying hawaii,1
394,im pulling hair trying book flight u site doesnt work iphone ipaddont computer help,0
395,thank,2
396,get help support ticket days incident thank,0
397,good home texas moodlighting,2
398,even open laptop seat c paid premium let,0
399,seat c even open laptop paid extra seat,0
400,guys starting flights end month guess im still road tripping feb,1
401,thanks needing way make austin trips dca youve come,2
402,announced new route austin wfares way,1
403,really sprint thought guys kewl,1
404,cool never ur planes,2
405,dollar laxlas fares,1
406,great well deserved,2
407,fyi infovirginamericacom email address say contact password reset emails doesnt exist emails bounce,0
408,status match weeks gone newsflt next week hope flt count towards requirement cust svc help,0
409,website sucks donkey dicks thought know best,0
410,still develop app favorite airline,1
411,crap channels pay watch uk tv,0
412,got set thanks,2
413,channel year,1
414,thing see passbook virgin mobile mexico integrate,1
415,giants virgin america match made heaven,2
416,thank goodness also see friday nwkgtsf boom,2
417,come dont iphone app still using making waste paper,0
418,back seat entertainment system accept credit cards apostrophe surname apostrophefail,0
419,vx use lga slots instead today adding aus makes less likely,0
420,helping step tinder game tindertips tinderchamp,1
421,luv ur people product thing u charge herbal tea black tea im caffeine drinker,2
422,thank see yall soon im excited see expansion destinations spread wings,2
423,announces new nonstop connecting austinairport amp dallaslovefield intro,1
424,adds austindallas love field route,1
425,sad learn longer fly sfo gt phl hope returns,0
426,tweet cancelled flightchng fee flight rebook one affiliates afiliates,1
427,incredible customer service ive ever experienced refreshing,2
428,see virginamerica come philadelphia phl,1
429,dreaming really open route dallas austin mean houston might next,2
430,omg finally,2
431,start xweekly flights dallas dallaslovefield austin apr avgeek,1
432,nice see expanding texas dont forget us sandiego would love see flights,1
433,kinda sucked earphone jack didnt work flight may want look future passengers,0
434,poor experience first computer problem seat malfunction stuck missing meeting san diego,0
435,battle southwestair dallaslovefieldaustinairport route via usatoday,1
436,thankyou dalaus route makes day,2
437,awesome deals dalaus way,2
438,miss nerdbird san jose,1
439,love taking southwestair backyard consumers win biz competes,2
440,flying love austin excellent news,2
441,make every vx plane nerdbird austin one getting nerd love,1
442,please add frequency pdx portland,1
443,congrats vx new route,2
444,tried offered charge additional k new ticket stranded thurs st time last time,0
445,americanair u help flights get old battling cancer needs treatment freyabevanfund,1
446,never bad experience one took cake extortion carry items well,0
447,spend hours worrying items carryon would brokenstolen since couldnt carry plane lock bag,0
448,group e told room bins got plane room least bags row,0
449,thanks making flight lax jfk nightmare forcing check carry bag gate,0
450,lots flights book site working ive phone waiting minutes,0
451,flight artisanal cheese wine pairing,2
452,virgin america fly direct seattle nyc boston,1
453,thats classy,2
454,im sure lot jfklhr flights go lot faster mph strong tailwind,2
455,tminus minutes elevate silver upgrade window opens freeneversucks,2
456,save tomorrow,1
457,taking years fly home dallas get shit together,0
458,jezziegoldz club virgin bumping new york,1
459,jezziegoldz would rough trip luckily virginamerica flight weather,2
460,thestarter,1
461,please come minneapolis st paul,1
462,yes fyi bff,1
463,another perfect flight come planes sun visors stay carriers make raise,2
464,rt virginamerica man steel might faster wifi saying sciencebehindtheexperience,2
465,love dancing little richard cool beans,2
466,dont use passbook still love though lt ill use email future,2
467,thanks free birthday points yall right,2
468,application ios looking saw virgin mexico lt,1
469,man steel flies cities thoughand frequency,0
470,thanks much sharing added site,2
471,good point,1
472,heard virgin mobile hotspot,1
473,got cheese plate flights,1
474,flights,1
475,dad segway best part whole infographic,2
476,plans short haul airline europe would defiantly fly guys,2
477,wifi better seating,2
478,come abc one network channels dont,1
479,started flight scolding using overhead bin offered person seated next,0
480,great return calls day couldnt ask myvxexperience,2
481,airlines werent cancelled flighting flights bos helping customers get home virgin saying good luck,0
482,dear virgin customer youre stranded sf days amp cost well least accommodate,1
483,use next airline commercial lol,1
484,grouping virgin others bos weather exposed actual cus serv model never flight booking problems virgin,0
485,one travelers affected boston storm im shocked virgins complete apathy toward customers,0
486,umm reason someone different contact contact get definitive answer,0
487,trying make change advance hours priortried online earlier wanted change fees,0
488,loyal im driving nyc pa fly virgin since cut philly flights,2
489,way change main cabin main cabin select flight without paying change fee penalty,1
490,guys perfect always lt wervirgin,2
491,thanks yall best customer service left industry,2
492,give silver status months,1
493,really wish youd fly fargo fargoairport fares amazings,2
494,mood lighting point reclining seat kickin feet,0
495,flight scheduled pm departure still says time plane gate update long delay,0
496,group got cancelled flightlation fees waived cant ticket booked reps help either,0
497,sign bonuses enroll elevate,1
498,got pm newark home la folks ewr incredible letsgohome,2
499,morning question regarding elevate points amp flights dm,1
500,still waiting see starryeyesdev,1
501,wondering guys recieved dm able potentially respond asap,1
502,flying lax sfo looking awesome movie lineup actually wish long haul,2
503,book town fares way restr jenniferdawnpro,1
504,thanks,2
505,thanks taking care mr happy customer,2
506,still refund word via dm please resolve issue cancelled flightled flight useless assistants trip,0
507,delayed due lack crew delayed theres long line deicing still need improve service united,0
508,thanks filled hows luck common,2
509,eriord express connections hugely popular could eriewr hop,0
510,even international flight glasgow us orlando newark mins,1
511,think boarded flight au early think,0
512,understand tough way get airport wo serious risk accident steep price,1
513,gate agent hooked alternate flights way prevent constant issues would rock,0
514,flying glamco weeks long airport departure international domestic ta,1
515,thanks,2
516,thanks ticket,2
517,law policy,1
518,worst nonrefundable first class tickets oh select globalfc system auto selects economy wupgrade,0
519,cheertymedad buy tix days flight cant transfer tix flawed security logic flawed customer service,0
520,start claim weeks unrealistic really supposed go long car seat childridiculous,0
521,follow please airline beautifull,2
522,dont im sure united info system,1
523,car seat lost united reimburse new one pair shoes necessity child,0
524,submitted response link sent,1
525,yes david allan send email number kmmvlkm case,1
526,highbuddyyy totally sucks cousin worked phl said united,0
527,wanted let know wonderful rosetta gate agent working flight dan ase let know wasappreciated,2
528,yes paper voucher got january th,1
529,beginning feb called united said would send another voucher mail never got anything tiredofwaiting,0
530,internet great thing emailing executives company maybe respond timely manner,0
531,need use chase united club pass yr old son come pass,1
532,suppose number,1
533,thats weak see ya hey virginamerica,0
534,flew back w company since united didnt earlier flight,0
535,lost voucher given miami aeroport jan use,1
536,trying book awards september need flights aegeanairlines show even w many award seats availab,0
537,sure drive total hours get bag id like explain debacle one wants talk,0
538,cheertymedad gee thats like almost caring ppl think im int trusted adult w daughter,1
539,see told repeatedly pilot late flight kept getting late flightr boarded defibrillator issue,0
540,preferred security line anymore tsa precheck didnt pull silverairways partner flight platinum spoiled,0
541,newarkliberty airport need indicate different gates terminals aampc flyingainteasy,0
542,yes please newly married trying update last name preexisting international flight seems easy,0
543,united refuse reissue lost voucher plane didnt take due mechanics badcustomerservice,0
544,also run instructed shattered computer,0
545,yes weve agents last minutes one agents rude thankfully ladan nice,0
546,thats right overnight miami,1
547,clients hr layover iah day claim amp recheck luggage taken care,1
548,trying find loaner seat new used used car seat illegal according safety regulations,1
549,dmed details,1
550,iah charlotte baggage claim rep latrice h customerservice non existent ignored customer inappropriately touched customer,0
551,kewl also let know overhead bin row inop love good abbreve,1
552,thanks helpgot need issue austrian guess sit awhile longer,2
553,uctraveladvisor would loved respond website saw really long form business new seats bad,0
554,refund flight vouchers another flight different airline expense today hour drive inconvenient,0
555,received call back daysits infant car seat supposed go anywhere child,0
556,thanks concern contact customer care upon return australia,1
557,well sitting ground time waiting gateagain tiredofthis,0
558,airport snow removal method keep good work folks cessnas become,2
559,need guys book planes concern ill travel someone else moving forward,0
560,measly ecertificate appreciate loyal customers wait hrs tarmac ua unacceptable,0
561,email addressusername signon available,0
562,thank able claim interim expenses cost stuff,2
563,rude rude,0
564,cant get boarding pass austrian airlines codeshare flight rebook incls hour layover amp stuck outside sec,0
565,received flights united truly breaks guitars unitedbreaksguitars wantmymoneyback,0
566,flew telaviv paid third suitcase didnt even make plane besides impolite service,0
567,bag still colo springs disabled search unfamiliar airport look bag good outcome,0
568,shame theres flex tickets transfer rules even calling neurosurgery icu isnt enough,0
569,denver said dont handle baggage made colo springs gave number call help either,0
570,guys need serious training customer service many better options put way guys handle ur mistakes,0
571,ord dca,1
572,found problem avoided like plague told cant find supervisor,0
573,zccu cancelled flight flight h advance need connect flight reschedule link isnt helping help gf waited months see,0
574,flying,0
575,addition first flight delayed hour im arriving destination hrs late flight,0
576,cancelled flighted flight didnt rebook us added flight drive denver kcthanks,1
577,announcement pre boarding addresses mobility disability requires travel lot stuff preboard,1
578,flew united last month experience awesome,2
579,travel booked thru united group dept okc ticket agent less willing help connection lax,0
580,v upset disability services told one employees carrying medical equipment rude,0
581,thnx quick reply dont think assist intl grp put considerable inconvenience today,0
582,wont transfer flight ticket accompany yr old whos active military mom emergency brain surgery wow,0
583,getmeontop weeks late flightr still received miles mileageplus gift card starbucks card handed,0
584,k im always hoping improvement,0
585,yet complained guy checked luggage throwing bags around unfortunate coincidence hope,0
586,okc ticket agent roger mclarrensp less helpful intl group travel problems cant find supervisor help,0
587,mobile apps need construction ground os category expensive get right,0
588,another fail united ticket agents okc less helpful could care less problems american come,0
589,also working wc coach good thing bird landed ahead schedule use wc stat,2
590,os isnt controlled rather verizonwireless app new,1
591,sent email customer care telling may break sincerely hope help,0
592,silly im flying delta today united club staff attendants surly unhelpful always seem bothered pesky folk,0
593,phone number cant find call flight reservation,0
594,well cant fix missing buddies th bday negligence attempt make,0
595,believe help customer service couldnt like said want number someone fix,0
596,helped baggage service desk said bc tsa screening fll bags made bag ewr,0
597,mobile boarding pass disappeared phone standing line board second time week hmm,0
598,record rozana newark lovely helpful choosekind,2
599,last nights ordlga,1
600,thx update,2
601,thank,1
602,dm nuts,1
603,explain eager flight attendant trying ask vision ccicanine guide dog,0
604,whats point asking details servicedog book flight crew doesnt read continued,0
605,tried one available bogota everyone rude houston stuck hours guys,0
606,worstunitedflightsever ua las iad mechanical problems took land fix delayed wtfodds,0
607,despite bag making newark good informative email tracking updates help,2
608,whats going ua outbound flight last thurs delayed hrs long delay worstunitedflightsever,0
609,worstunitedflightsever ua iad las mechanical problems switched aircraft delayed hours,0
610,crashed trying check,0
611,wow deal plus seats available easy change make customer happy,2
612,thanks info already knew,1
