,text,sentiment
189,much unless one pillows ends suffocating one sleeping next,0
190,meeting best friend first thing morning gym omg still shocked hope get better soon,1
191,wow fastnext soderling ferrer gilles simon lost,0
192,yup theory great reality beyond imagination also made planning knowing vs fail,1
193,glad know ad display problem due firewall config yr office phew,2
194,woot,2
195,dont like monday wish sunday cause thats fun day freaking jam little miss,1
197,waiting last movie finish test screening ghost girlfriends past glass wine lolly bag hand yay,1
198,happy starwarsday may th everyone paintball,2
199,must head back office,1
200,st joe dirty,0
201,camping black butte lake,1
202,getting messages add recieve soz im new,1
203,hate life,0
204,sick stomach headache wish someone could come rub temples,0
205,natalya got ta tell whats going id call lost phone numbers broke blackberry,0
206,thought unfair ppl n got depressed haters,0
207,crying real tears,0
208,brown holding onto one,1
209,panchitos burfday party tonight wish kiddo,2
210,back town mac crashed better,1
211,archie andrews thinking veronica,1
212,best things life free x,2
213,misses mom today best friend even though gone several yrs still miss dearly happy mothers day,2
214,watching blood veoh episode love musicwishing could watch live action old enough,0
215,bummer,0
216,truth maxwell cant forget future father children,1
217,racoons ate bread,0
218,sure let moms know fabulous think almost mothers day,2
219,inastory glad im one hes baby im terrified hell think never coming back,1
220,launch today teacher changed plans watched stupid move tesla,0
221,pleasant sooo rarely time kill,2
222,thank ooh see youve read desert islands great book,2
223,lol tiz good song,2
224,working internet shop dont think achieve goal uploading previously set time keep going,1
225,anix bought cheesecake ice cream last week thinking good sucked much im taking,0
226,causes frustration buddy,1
227,wright thank return mack jam,2
228,ready saddenning depressing dullful upsetting dreadful weekend,0
229,sorry lack tweets ive buzy new vid saturday,0
230,humble best going works paintball day soon fuel strips doubt,2
231,going bed cant take thiss longeerr maan u,0
232,morden richards ill see youwe get back good luck,2
233,thanksi really appreciate know hardest thing ever done,1
234,spent last hour signing yearbooks ill miss guys,0
235,love every little thing,2
236,mobile stopped recieving text messages stoooopid thing,0
237,hi simon let know done,1
238,amazing night favorite lady friend,2
239,oyler poor little woman smushed head,0
240,fixin clean house mom mothers day,2
241,think people say save drama fo yo mama im sure even yo mama wouldnt wan na listen ur drama ode mothers day,1
242,hey thats school hate place,0
243,got stars pre wash failed rince,0
244,sister law left prom looked soo pretty tears around,2
245,follow,1
246,bought three books yipee whos readtenbooksduringthesummer thing,1
247,im really bored brother went get permit stay roads jk lol feels like friends abandoned except,0
248,goodnight,2
249,themoon hiya hun day dentist appointment ouchnotebook feeling sick hows,0
250,emily ahahha scare would work,0
251,need change monitor,1
252,know dude im reruns making jenny watch conversations lol havent online much,1
253,vote every day,1
254,waled past quad want outside fun,2
255,rocked home maccas signing petition big bang tour aus lol,1
256,think food ate made sick feel good,0
257,eagerly anticipating twitpics,1
258,lots tasks complete today first wecloming new members canadamigos social networking site wwwcanadamigoscom coffee,2
259,wants stay bed day go work instead sux,0
260,chillen trying figure thing gettin drunk,2
261,yay doctors interview back doctors blood work,1
262,filming carnival music video reminds cherry festival used go back home ahhh memories,2
263,im siiiiiickkk dun feel good,0
264,propellerheads harddrive long got music repo back shape felt nostalgic,2
265,glorious sunny day london town im drama school fighting people swords protecting romantically structured face,2
266,feel sorry hope dnt cry nd time,0
267,would wish severe migrains would stop docs prescriptions arent working,0
268,full moon lovely friends family bday wish came true additiongray matters one cutest movies ever,2
269,life would suck without kelly clarkson,0
270,revising exams,1
271,host next logies laughed bit really,2
272,hi jordan im gon na ui know ur busy know ur probably tired please reschedule nc dont leave us,1
273,joy feel like red lea,2
274,id love think trek london would bit much,1
275,hey hey,1
276,thinks revising garden morning without sunscreen isnt best idea ive oucccccccch,0
277,miserable feel like im gona cry sux,0
278,know deliciousmiss germany like holland well used shoppin weekendslol,2
279,lol true maybe next year loooved siggy dont remember password mod thing cake,2
280,lol get watching hehe,1
281,hope great certainly spent enough time studying,2
282,btw downloaded iphone sdk,1
283,straighening hair going straight want bummerrr,0
284,need botox work lips im going change name angelina jolie thought sad though racism,0
285,doctor laughs oh cranes patient arkham aslyum work,1
286,morning great day school go,2
287,weird mood muahaz,0
288,congrats photo dre,2
289,sanctuarysunday thanks joining sanctuarysunday follow sanctuary people keep date tweets,2
290,done disneyland kids knocked stopped hotel bar grabbed grey goose tonic way uppeace,2
291,ok lol miss hope cramps get better know painful,1
292,oh good review,2
293,mileycyrus wont let twitter keeps saying twitter capacity something bird keeps coming,0
294,im extremely hungry thing house soup dont like soup pouts,0
295,hilarious,2
296,love guy standing behind,2
297,bout hit sackgot tomorrow happy mothers day mom,2
298,lost dc hat,0
299,starting video editing first spanking movie mina added next update,1
300,effect podcast audio version book plus added charm banter,1
301,sunny synday morning nicole later usual mommy got sleep,1
302,browsing find everything university interior design,1
303,tweeted sixteen days miss ive fun though ingrid mon frakking awesome bbq today,1
304,visit si fr joemar dito bataan frm camiguin sum ofcmates supposed meet saturday cant luwas,1
305,soo excited pasadena seminarif find confermation email,2
306,ugh dont feel well sudden,0
307,want new phone ive seen much cellphone commercials,0
308,well test theory right arm strum got feelin ill humming new tunes,0
310,school days exited amazing premier,2
311,tis useful indeed esp newbies like,2
312,gon na go see sister mount sinai shes least another hours,1
313,handle tg,1
314,backe backe muffins,1
315,relaxing working mothers day oh well good day hope well,2
316,lasttt mondayyy classs,1
317,yup join nin access fun,2
318,walked work thinking sitting bellagio time wednesday,1
319,unfair wan na go,0
320,download movie good day black sexy cool movie,2
321,jus got back run sunset blvd cuzin tried kill legs still movin im sittin,0
322,aww thats sad miss seeing guys big screen,0
323,knooww hot water bottle iss whangamata without ahhhhh,1
324,eeeeep jealous im work um u receive viva broadcast online plz,0
325,thank much phaoloo,2
326,hotel thankful,2
327,watching gh feel bad carly omg,0
328,rofl thats like hear,2
329,ok im frustrated hella dust screens blackberry,0
330,anyone awake oh god dying want go sleeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeep,0
331,long think next weekend open going house warming party,1
332,change plans working inside bar tonight,1
333,thanks following,2
334,well good luck,2
335,work getting quick bite eat kill wrist self addressing envolopes,0
336,arghhhhhhhhh cant keep twitterbones peeps,0
337,undervote going im overalled,1
338,making german apple slice nom nom nom,2
339,looks like another night office lol,1
340,tummy hurts,0
341,got hours sleep,1
342,anybody else experiencing painful slowdowns facebook,0
343,lol people falconand boo one becca,1
344,really need earn money watch pcd concert,1
345,poor pirate last wisdom tooth looking really peaky,0
346,mozzer cancelled tonight looks,2
347,waiting aaron get town leave work booo,0
348,morning tweat tweat twitter,1
349,headed home charlies vet,1
350,wan na b maliks taking stage,1
351,going bed soon happy mothers day mothers ryan less weeks,2
352,bored bored bored wish something tomorrow especially weather fair,0
353,well even breakdown better acts unfortunately britains got little talent,0
354,go leeds shopping,1
355,sadly cant view site due region restrictions,0
356,hs im still officereally tiredwanna go home,0
357,aly aj new album summer yay,2
358,day awwwww fun fam boo boo,2
359,lovelytrinkets like way worded rocky road,2
360,mexican coca cola bottle new favorite thing high fructose corn syrup sugar awesomely old school,2
361,got people dont let skip sci pratical becos skola impt dont waste parents money nt fair,0
362,nothing witty say,1
364,hi ho hi ho work go,1
365,thanks hint,2
366,u welcome babe kill show yuuupp,2
367,hey candis,1
368,never good stereotypical teen,0
369,love maitu n loves happy mothers day mama,2
370,sorry,0
371,want go singapore mother seems,1
372,jb front factor x wooh contest timeee,1
373,u arent going chicago,1
374,problems wih pizzaii love muchim addicted pizza dot dot curve,2
375,tired,0
376,lovely breakfast mumyummy pancakes,2
377,yay fun,2
378,thank us mamis bringin sexy back,2
379,lucky thats awesome,2
380,oh god moth living power outlet actually powersquid,0
381,craving burrito boys large halibut everything jalepenos line hot sauce anybody hook,1
382,oh time real,1
383,well pay sales taxgreat even worse mom pop businesses double pay business licenses,1
384,love much called talking fans love lot mitchel ill see u el cajon june,2
385,misses bed sleepy,0
386,woo two days till awesome gig one day till uni finished days gigs yp,2
387,tv internet make catherine something something,1
388,anyone advice need,1
389,found mj mouse flats djs course none left size,0
390,im dreading hearing even worse news tonight,0
391,whole followers actual people dont know write anymore,1
392,haappy bank holiday weeeeks aah,2
393,thought licensing stores bc takes away experience want provide,1
394,amichael doesnt look like youre tired pic dont work hard,1
395,slept littlewell lot whooops,1
396,says new layout cute x see cuties hahahah,2
397,good night rob sleep well safe travels tomorrow,2
398,know suck data plan weak sauce,0
399,well making beds creating noise cleaning cleaning day long music smile x,1
400,bit new scientist weeks last weeks watership,1
401,dear oh dear,0
402,monday running fast,1
403,playing old school playground still except lame got rid tire swing,0
404,happy mommahs day moms,2
405,cal work orhehe mind gutter im sittin doin student loan thing,1
406,lol could written would good mondays week might catch x,2
407,youre surrounded official niecesnephews yet,1
408,cant wait dte michigan summer guys great look customized nkotb track jacket,2
409,nope fifth generation ipod classic likes dumb,0
410,meetings overrated,0
411,love smell procrastination morning oder,2
412,considered nurse younger really dont think could cope baby died,0
413,know definitely going try see weekend,2
414,nice,2
415,oh must gettin old mom use watch showi miss,0
416,lol totally made laugh made day,2
417,tonight fun,2
418,creepy guy walking dog ive fill creepers day,1
419,good morning took longest shower ive ever taken life like min shower woah lol,2
420,facebook,1
421,get drive dad airport fly vegas wsop wan na go vegas,1
422,franco made breakfast mom hes trying cut strawberries safe knife fb,1
423,better person send u feel like mouse american tail ri,1
424,allergies sun wearing shorts stuck advisory whole day boring except fun people make fun,0
425,thank know happy sad time know youve got right stuff,1
426,merchant agree teenage daughter spending money movie concert week,1
427,someone soon lucky recipient th tweet oh wait,1
428,good morning went bed feels already morninggoes fast going gym soon nice day,2
429,one governors one directors company,1
430,internet week longer,0
431,jesus christ meadowhall could better air con hot,0
432,listening pnk tunage trying teach cat dance think shes getting backing dancers next tour,1
433,sure,2
434,getting ready work sun shining plus bgt tonight gon na finished,1
435,aztec mask harder thought u kno think pretty good job artist,1
436,listenin old school new found glory hedro gimi high school band load besides home grown,1
437,kelly kelly pays bills kaden pays em wants follow lol dosent get pay bills,1
438,want gooo,2
439,evryone come spamming much blogtv glitching might work,0
440,ready tomorrow mommy get gift mothers day hope loves,2
441,ugh fun concert screen cracked phone fell,0
442,take backstreet boya put silk mc hammer pants sgt peppersbeatles coats lame music smap,1
443,happy vstudio shortcuts backkk,2
444,cant wait hear evp cuuuute picture,2
445,headed verizon praying pinkberry going make,2
446,awaiting reply two projects one cancelled,0
447,coco still,1
448,watched belong lovely sister kiddin,2
449,hello howd ur saturday go,1
450,arent showing spymaster screen,1
451,well sacramento hope appreciate rivkah sass treat well ill sitting omaha pouting,2
452,leaving beach great day vicente needed time together,2
453,got caught rain sand monsoon way home even though looked like complete idiot,0
454,left already misses nashville back sunday,0
455,going bed cavs game dont judge lol,1
456,youre busy bob im jealous im sure even afford go meet john de lancie leonard nimoy,0
457,living country government always circus show sad true,0
458,went twitter crazy last nigh p well thats happens u got nothin ta oclock da mornin,1
459,want chocolate,1
460,tell love someone like,1
461,yep im going better,2
462,fun,2
463,nose stud fell cant find looks like ill head amsterdam today get new one,0
464,byspork shall see,1
465,excellent analogy,2
466,good morning tweeps busy working way,2
467,lmao im joking mate,1
468,follow baby u said n da chat u luv ya goodnite,2
469,busy work must run traffic bad,1
470,got rad new tshirt aunt made cool shiny shiny pink material,2
471,awesome talk find true watching ruby community closely,2
472,f hours guess sleepin living room,1
473,hahaha niene ur soo smart lmao think good lookin whts gurlie come home weekend,2
474,happens models,1
475,hereby announce employed couldnt happier alhamdulillah,2
476,juz registered cp twitter tweets wont go thru arghhmm wan na follow idols lyk away pc,0
477,speakingspeaking,1
478,paid bills go mailbox find,1
479,could would require today duvet day imagine outfit wendyhouse photo worthy,1
480,glad hear made hear place used country looking forward arrival,2
481,found swing set sale blocks home super cheap want kids one answering phone listed,1
482,many farewell parties sad see people leaving,0
483,still pity comes lamb though,0
484,ive got cups got ta come get,1
485,take take faces robbie,2
486,reason wonder loves,2
487,happy birthday ness,2
488,wow really hope gets better asthma sucks,1
489,feels cousin monkey,0
490,charlie chocolate factory mood johnny depp bed preparing hour wok day tomorrow,1
491,wasnt layers absolute positioned divs web compability killer,1
492,dont hate youre left one slice bread left bag half sandwich,0
493,loves random acts kindness laughter,2
494,gha work hopefully traffic cleared time get,2
495,watched another episode jonas better hannah montana much true,2
496,going meet new family im babysitting wish still sleeeeping,2
497,hi heather dont know saw messages april twitter friendly,0
498,cant belive one episode go,1
499,also watch family guy online wwwfancastcom yes total shill,1
500,know right poorpoor girl shows shouldnt put young people competitions like though,0
501,excited people reservation morning lovin halo right sure,1
502,wowie wooie someone updated twitter without remind im even madim impressed lasagna,2
503,today another good day less extreme experiences anyone fan im watching season,2
504,going tonight never wrote back info im sososo sad,0
505,still im sick sick,0
506,collins im sure understand twitter thing works,1
507,wat stressful week jus hope everything falls place,0
508,hubby dentist ready hold hand getting nervy potentially buying car tomorrow,0
509,aww got see st grade teachers last day retired,2
510,sure continue tweet conf call worrying cat bee,0
511,lol made huge mess school shirt using charcoal sticks art,0
512,b finished,1
513,bgt made cry tonight,0
514,gawww facebook slow,0
515,im cool cant wait hear stories xoxo,2
516,bird poo update managed clean slight stainage remains tips,1
517,also conviced happy dance told adorable happy dance ever,2
518,day til nyc journey soon begins music baby,1
519,feel love pizza girl eat pizza everyday,2
520,way early anyway nigth night love,2
521,say please reply dougie double dare,0
522,im either went snicker although enjoying listening rr beer,1
523,hey esmee u,1
524,muahahahhahaha well maybe think im crazy something havent scared yet though,2
525,nopenot drunksometimes think maybe shouldthen maybe twitter would make sense ya know,1
526,today got pop tshirt lovess ittt haha x,2
527,epicentre wheelock place tourists,1
528,perfect night best month life far boo,2
529,yayy youll help im english homeworks holidays,2
530,hi ya demi im glad ur back personally love picture haha,2
531,think tour england dont got see aweomse people,0
532,puke mouth brilliant response pants top wrong,1
533,good morning haha read swine flu probably comes pigs people poor pigs got blame,1
534,bummed outi dont even one testimonial flickr,0
535,sorry feeling way,0
536,yeah prom night craft good movie,2
537,flu swinishone flu,1
538,dont go logan square pretty sure shirt isnt philly local tmrw,0
539,see floors make offer let know dont receive call soon,1
540,sending healthy healing thoughts mumborgs direction,2
541,prom ha chinese iced chai old school pokemon good night,2
542,prayers family dog mozart put afternoon pics,1
543,went short flight around geelong waterfront surprised well handled im still exhausted last weeks meetup,2
544,ill keep yall prayers welcome back tx hope goodsafe flight,2
545,good morning scary world,0
546,back working auditing away time make hard decisions happy,2
547,ummmm comment lol actually watched gh week,2
548,think u enough friends including lol,1
549,zsnagy presents,1
550,layne hmm whats ur fav movie tv shows,1
551,gon na first twitter cause amazing lol come canada would anything see perform,2
552,thankfully face shows photoshoots,2
553,dont worry bizarre find,2
554,sorry failed grasp meaning,0
555,walker sadly ill going killumbus show really want one wants drive,1
556,morning lou housework im church,1
557,extremely happy see new track awakening featured indivibe,2
558,hahaha n im u,1
559,love mom happy mothers day mommies,2
560,chilling mcfly last night absoulutely incredible love,2
561,god cant asylum really never get anything cool,0
562,got fight kicked bar least knocked fat lip though pulled another number,1
563,working mothers day slideshow cake card balloons deserves best,2
564,early bird gets worm case birder gets witness carnage,1
565,eatout,1
566,thanks hope good one,2
567,thanks completing calvin appreciated,2
568,morning everyone sorry going early last night bad news felt totally today new day,0
569,wow new google icons suck,1
570,hahah best thank god terry laughing hard miss remember racing trucks,2
571,tell people contact people,1
572,kill jasmine havent talked ages,0
573,got awesome hair cut todayyyy looks hottt haha homework,2
574,youre never alone think one cares realize always one person cares,1
575,someones sweet tooth dying somethin sweet ive attacked chock coated tiny teddies could find lol,2
576,applemouse doesnt work shiny red coffee table,0
577,commentary sad sad,0
578,yet another good weekend someone sigh man like boy,2
579,head strand goodnight,2
580,every day life lately feel ya girl,1
581,hiya looking,2
582,aw stinks im sorry,0
583,trying recover broken heartyet nd rd time,1
584,ach probably labeled mi believe name used aired bbc america,1
585,ha find thing google came database acronym dibbs front seat aka shotgun,1
586,witty yes francebelgium good carnt belive much traffic hit way back,1
587,comp slo w,0
588,didnt send text,1
589,oh mannn im gon na tomorroww,1
590,unfortunately take repair shop replace,0
591,come vietnam make live show miley much fans love viet nam,2
592,guys could fun cardboard box miss already bro,0
593,little twitter mention snl,1
594,josies surgery shes officially unable procreate shes way poor medicated baby,0
595,signed account political website could post comment isnt working,0
596,nigerianboi thanks jt also enjoyed r u following ill follow u back,2
597,mum lost grangemouth utter hilarity totally lost,1
598,sorry femaleatl lonely,0
599,feeling awful new medication making nauseous,0
600,inooo arent wan na go meet kyle im obsessed fair,0
601,need bear hug im going camp today,1
602,could id send california sunshine way,2
603,need present mom could anybody help,2
604,weirton julie way north tippy top lol dont think southern wv folks like us much,0
605,learning use twitter,1
606,bad mood dont feel good bad one cares,0
607,love much got hiding spot gon na go check datalounge,2
608,try one,1
609,youre diabetic dad might sure still allowed eat sugar throughout day,0
610,really want sleep butmy eyes wont let,0
611,check yourz rayne,1
612,havent slipons years since checkered days matter fact torn black classics,1
613,ian going matinee tomorrow thats plan leastits going expensive night,0
614,less hour,1
615,know work boring prefer take life,0
616,gmorning hermana thank testimonial wonderful posted already,2
617,ha nothing man right mothers day except taking kids mums hands whole day,1
618,ahhh whatchu talkin baby hahaha cant believe youuo heh actually life worth taking risks,2
619,raid leader made us run drills practice switching,1
620,clang rocks youre using right anyways according comments apples gcc dunno public tho,1
621,unlike cierra look like poop today whatevahh lol,1
622,enjoy hanami picnic cherry tree park hope weather stays nice,2
623,comp deleted half apps,0
624,whin park swings victory mine right,2
625,well would seem enter nine individual without ssnitin ein according apple hurray,2
626,like ten times better place xd beautiful fun gold coast hot dogs xd,2
627,whole body sore moving hundreds pieces luggage last weekend guess visit gym often,1
628,oh kind,2
629,yeah quick im using mm addis bought sat makes even smoother,2
630,dont even look fabric unless need polar fleece worth extra go needle thread,1
631,pleeaaasee come sun,1
632,ummmlast night dmd said good question,2
633,man really sorry,0
634,watching jobros live chat live though haha,1
635,wow tomorrow ill never see people kind sad,0
636,ncaa baseball road omaha south carolina hit run homerun dagger heart mason south carolina,0
637,send messages greg time answer ok still love goog luck move erie,2
638,honestys much sorry couldnt resist,1
639,oh ok always wondered worked top ear done dont think could get anything else pierced,1
640,nooooooooanother headachehopefully migraine,1
641,pm todays drag bored im get romance book prob wont til morn night twitter babes,0
642,twitter fam im hop back aim went ghost yall lolz sowwy,0
643,make good girls go bad,0
644,sites republish blogs feed often end higher blog google search results,0
645,going dinner bbs,1
646,hope georgia still wide awake hiccups,1
647,phone knew shouldve charged last night sigh,1
648,quite,1
649,oh yes level,2
650,babys adventure hours car lake ann mi admit cried little truck pulled,0
651,need right absolutely mindddd blowing love much,2
652,frustrated stupid iphone need blackberry,0
653,woo got fast mobile broadband connection,1
654,really want sporebat pet,1
655,im still mothers day lunch uncles house nice time,2
656,oh ate pizza last night stupidly feel closer somehow,2
657,oh rightsorrynow get yabut still emailswowcool,0
658,great time boston thanks baby girl,2
659,bad homie,0
660,im awake whats breakfast lulu shingle ha ha ha,1
661,good morning everyone,2
662,love one especially shoes anyway gmn punya acc lookbook ya,2
663,shake shake shake shake shake,1
664,raining,1
665,good morning world,2
666,hope everyone great week let know think im crazy hating coffee xd,1
667,back br,1
668,time put weapons charger night sleep tight,1
669,using tiffys computerit feels different mine touch different,1
670,happy mothers day moms sure heart mankind,2
671,still talking,1
672,want crimson gem saga go play rf guerilla demo repeatedly mission failed died many times dicking around,1
673,lol great movie,2
674,b last v tomorow havelive apples n caffeine n havecut chocolate bye bye chocy,1
675,awoken loud banging continues day good thing got early rest last night,1
676,lets go,1
677,feels really sick,0
678,hecks yeah jandy timsamlake rawesome,2
679,internet jus cut bout shoot sum guys eye kandi,0
680,u dont school today,1
681,broken mondaydoes mean monday fixd,0
682,people work stressing,0
683,rt hearts past days etsy boo hoototally,1
684,love sister brags shes tired spell bowling right haha ok,1
685,never trust someone elses battery operated power tools youre hurry,2
686,lol tweets funny met calgary youre awesome cant wait next hp movie,2
687,work still recovering amazing beautiful weekend mentioned incredible friends,2
688,sos smell cigarettes alcohol least like,2
689,done internship,1
690,rip officer edwards may god continue bless family whats wit cops killing cops seen thing happen wire,1
691,invasion old ladies ended still clean going able make tweetup tonight,1
692,current goal lose pounds next tuesday come soooo ready gatlinburg,2
693,best friends bought something really want,2
694,depends goals much want spend cannondale specialized cervelo good brands,2
695,phone mum,1
696,tooo,1
697,net died yeah im sad,0
698,anticipating next ten days,1
699,dont know follow sme ppl e anoying boring note self unfollow peeps monday morning,0
700,yeah start reaching earlymids,1
701,getting ready babysit,1
702,bad migrane need go dancing tonight good combination,0
703,grinding skyguard rep less awful anticipated yet still awful last tabard need,0
704,dunno saw happy birthday girl,2
705,im looking forward see hear norway live fast,1
706,awesome,2
707,actually workin home tonight,1
708,want beach sun,0
709,oh tired,0
710,well dog still isnt shelter hope someone good,2
711,well tell fashion tips need im woman hehehe,2
712,hello taylor miss months,0
